"week","platform","organic_traffic","sponsored_traffic"
1,"ask",3741,1143
1,"bing",7352,2627
1,"google",12215,6063
1,"yahoo",5332,1874
2,"ask",3872,1157
2,"bing",7605,2684
2,"google",12264,6074
2,"yahoo",5422,1846
3,"ask",4022,1167
3,"bing",7640,2680
3,"google",12405,6100
3,"yahoo",5616,1887
4,"ask",4039,1196
4,"bing",7722,2669
4,"google",12545,6107
4,"yahoo",5564,1906
5,"ask",4219,1174
5,"bing",7788,2693
5,"google",12676,6067
5,"yahoo",5716,1883
6,"ask",4263,1215
6,"bing",7851,2679
6,"google",12602,6111
6,"yahoo",5715,1911
7,"ask",4202,1232
7,"bing",7880,2725
7,"google",12631,6146
7,"yahoo",5801,1944
8,"ask",4192,1207
8,"bing",7792,2705
8,"google",12548,6142
8,"yahoo",5859,1960
9,"ask",4223,1246
9,"bing",7970,2737
9,"google",12683,6151
9,"yahoo",5746,1925
10,"ask",4356,1329
10,"bing",8020,2779
10,"google",12857,6183
10,"yahoo",5860,1904
11,"ask",4550,1295
11,"bing",8242,2795
11,"google",12959,6201
11,"yahoo",5973,1970
12,"ask",4712,1284
12,"bing",8328,2819
12,"google",12979,6219
12,"yahoo",6208,2042
13,"ask",4932,1375
13,"bing",8527,2864
13,"google",17576,0
13,"yahoo",6322,2089
14,"ask",4961,1376
14,"bing",8687,2859
14,"google",17888,0
14,"yahoo",6450,2079
15,"ask",5143,1378
15,"bing",8774,2926
15,"google",18013,0
15,"yahoo",6725,2083
16,"ask",5272,1447
16,"bing",8853,2937
16,"google",18116,0
16,"yahoo",6734,2104
